FAMID ID ILMN_1662174 ILMN_1670576 ILMN_3245973 ILMN_1668277 ILMN_1666206 ILMN_1724762 ILMN_1707448 ILMN_2300695 ILMN_2200917 ILMN_1699599 ILMN_1797428 ILMN_1771862 ILMN_1690907 ILMN_1715680 ILMN_1687213 ILMN_1691693 ILMN_3248511
937 937 -0.760313036 1.174317757 -0.05037372 0.164629718 -0.1702571458 0.225196081 0.189156372 0.292175583 -0.154888525 0.276491465 0.1730295819 -0.772159571 -0.166128035 0.237790503 -0.67001982 -0.0182529289 -0.71810257
938 938 -0.024709451 0.651731665 -0.298414045 0.092013852 0.1979869508 0.566746838 -0.333450202 0.394697921 0.135378884 0.039798099 -0.0536561454 0.1547114329 0.084259057 0.21784091 -0.88940716 -0.1376059376 -0.65902498
944 944 0.404633126 -0.749105265 -0.386796893 0.038284481 0.0346829257 -0.459379611 -0.604744719 -0.128556552 0.304953861 0.314813881 0.1396182624 0.0453019441 0.295735852 0.225169072 0.06448425 0.1420642178 -0.09156426
945 945 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
946 946 -0.44427055 -0.984127272 0.020735786 0.216160048 -0.5083891449 0.132006331 0.836999766 -0.109732913 -0.231124247 0.072114483 -0.230682004 0.1780750666 -0.032544602 -0.054459348 -1.09004351 -0.049790054 -0.97231849
948 948 0.588836122 -0.38129203 -0.119927147 0.073969175 0.229479002 0.220215025 0.029797002 -0.009578106 -0.130059907 0.01301674 0.085860394 -0.2864036836 -0.140210384 0.203945742 0.38558315 0.2477641681 0.07214697
954 954 0.510541622 -0.790645786 -0.374504138 -0.345886283 0.4279694393 0.014627243 0.078664715 0.035608283 0.317503983 -0.837325787 -0.8652731951 0.3998370964 -0.107423551 0.088336088 2.60277155 -0.6910031788 2.53882628
957 957 0.522823383 0.076025443 0.116629261 0.105293488 -0.0166449844 -0.381992877 -0.385197791 -1.306939428 -0.157633883 0.296084397 0.2464989891 -0.0009663414 -0.291351866 0.014473692 1.12852261 0.224073717 1.13356437
962 962 0.624530736 -1.036337523 -0.295110409 0.151667878 0.3938460762 -0.50571056 -0.300534764 0.331449447 0.422236811 0.2668048 -0.2957681224 -0.0559116943 -0.086821749 0.433970342 -0.21858933 0.0665216908 -0.20883749
965 965 0.338416576 -0.054189144 0.22110191 0.190520415 0.8252660345 0.161608809 0.020894287 -0.332618348 -0.054823069 -0.937595575 -0.7393932808 0.0365346251 -0.158355108 0.00365895 -1.64344264 -0.3780811148 -1.04045995
967 967 0.073484209 -0.689835727 -0.079598521 0.23888885 -0.3690216473 0.22521367 0.00889491 0.526203146 0.355511984 0.011575626 0.3737845244 0.073796158 -0.020482456 -0.365620272 -1.54022954 -0.0312896101 -1.361307
969 969 0.011550495 1.023075177 0.311021808 -0.075307343 0.0314271327 -0.009647734 0.212507502 0.144833024 0.143488808 0.651241003 0.1703934584 -0.1605932181 -0.034364966 0.194234081 2.3142387 0.2964831557 2.52244167
973 973 0.178153338 -1.515510377 0.017728045 0.0743077 -0.0943331878 -0.007205112 -0.152857472 -0.11437851 0.171474559 -0.961407831 -0.8176952606 0.1052775704 -0.105048727 0.108390249 1.13138191 -0.6232068366 1.0931245
974 974 -0.6375497 0.601471363 0.194837811 0.046066242 -0.2125529295 0.396251731 0.409211696 0.730651911 -0.183879625 -0.036778673 0.0661368626 0.3391949683 -0.030986182 0.035269156 0.06708126 -0.0501950579 0.1043843
975 975 -0.032858582 0.845245667 0.304159705 -0.219871584 -0.0054740043 0.10448983 -0.115427028 0.308185414 -0.028111219 0.023491085 -0.0259310172 -0.225002172 -0.003196341 0.091453569 1.08806855 -0.0834912566 0.65882393
978 978 0.176345543 0.03303069 -0.084675553 0.172355147 0.0392170686 -0.398933638 0.246917831 -0.359104891 0.219224635 -0.740655578 -0.9195366432 -0.0796686389 -0.133593711 0.0343672 -1.72345113 -0.3978696352 -1.16816623
980 980 -0.212945557 1.127333926 -0.264897211 0.136103726 -0.2757825344 -0.243070217 -0.062106673 0.179283447 -0.437720692 -0.190360716 0.1060053129 -0.0279711114 -0.207692829 -0.258632501 0.70878877 -0.038078526 0.62266013
992 992 -0.619261932 0.470655086 0.098368087 -0.011693128 -0.3448404859 0.262423635 -0.11411873 0.14636337 -0.079800503 -0.113892312 -0.0652346187 -0.1537012718 -0.128191831 -0.290604987 -1.57874925 0.0425659214 -1.19866895
995 995 -0.716907184 0.511836935 0.507627571 0.297958077 -0.5487662176 0.51354112 0.011981503 -0.028961598 0.009929259 -0.167140442 -0.1407982385 0.033235492 -0.103194274 -0.385359534 -0.98003643 -0.1176036503 -0.8588219
996 996 0.476451168 0.365252726 -0.041393821 -0.149242894 0.210731697 0.204696324 0.229602196 -0.071723506 -0.15997671 0.146736874 0.3437038975 -0.0942919276 -0.197564373 -0.237433127 -0.96883086 0.1479039334 -1.00111054
1000 1000 -0.250401976 0.402207642 0.016074317 -0.570527451 0.0257817084 0.129535793 -0.262643429 0.31487199 -0.436206678 0.399657242 0.5140524247 0.068850792 0.064143203 0.523786966 1.79934531 0.191248008 1.75282954
1003 1003 -0.04479465 -1.130838811 -0.78873391 -0.144624671 -0.2416061967 -0.289280228 0.288558657 0.223870004 0.015371953 -0.105921306 0.135346424 -0.075033648 -0.100045394 0.287437006 0.45584577 0.1531748381 0.64469666
1005 1005 -0.172368725 -0.417570576 0.146879556 -0.475119774 -0.1965047504 0.108795712 0.154986538 0.095379061 -0.339713644 0.011012676 -0.1837512541 0.1577273554 0.042280169 0.047963382 -0.01402504 -0.1086984937 0.157595
1008 1008 0.183841807 0.427682207 0.526406114 -0.098074934 -0.0048692424 -0.096197771 -0.201654277 -0.440466127 0.149494021 0.519670332 0.3917581816 -0.2391388208 0.233153506 -0.205083573 -0.39960086 0.1906796194 -0.47524942
1010 1010 -0.651267781 0.895181954 -0.284347146 0.272566074 -0.4442564981 -0.282014138 0.493004811 0.513365141 -0.063820818 -0.840900829 -0.8662091605 0.4576714232 0.213121562 -0.433848678 0.06801729 -0.8351392331 -0.22260328
1019 1019 -0.502957614 0.405382851 0.090481189 -0.038081181 -0.6852395704 0.065279096 0.642396339 0.648737668 -0.113290457 -0.652283292 -0.4395393332 0.8130528235 0.154997151 0.19659544 0.52930356 0.0051233945 0.54178079
1020 1020 -0.214583915 1.153282292 0.267778196 -0.025146213 -0.4397478091 0.029248335 -0.29071061 0.454361655 -0.198683221 0.70337004 1.11632077 0.3513510809 -0.374032286 0.048901079 -1.29443703 0.6339492544 -1.10801985
1022 1022 0.650578193 0.217669316 -0.420301439 -0.394245393 0.4603769257 -0.322645468 -0.188076958 -0.442191325 -0.113265764 0.276116846 0.2984291716 0.2489933166 -0.732034352 0.022787125 1.77427439 0.1918566452 1.80752522
1032 1032 -0.020971644 0.842210492 -0.040724757 0.269177065 -0.2675473842 -0.084353705 -0.442221335 0.475216192 0.227934383 0.578037109 0.4400289521 -0.1205170849 -0.02289209 -0.063198538 0.1310977 0.3258278772 -0.1375421
1037 1037 -0.325351544 0.387353602 -0.142741573 0.058588143 -0.1947421487 -0.157833631 0.104641951 -0.092475861 0.233274655 -0.309514894 -0.0594104299 0.0013919396 -0.051854931 0.037695202 -0.96944086 -0.2318215532 -1.15382665
1042 1042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1050 1050 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1051 1051 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1054 1054 -0.81425453 0.173427835 -0.117595111 -0.005154338 -0.7918391263 -0.401465223 -0.452029536 -0.217982012 0.007529332 -0.064855822 0.0386139157 -0.1441553817 -0.120321526 -0.224569198 0.79396556 -0.0728978201 0.57043617
1058 1058 0.148613196 -0.429477079 -0.003711166 0.20251727 0.1023154925 0.152630632 0.404598234 1.083458887 0.020295708 0.537916751 0.5027811475 0.6061402244 -0.01030993 0.068695776 -1.14345499 0.5977089473 -1.22525099
1067 1067 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1070 1070 -0.368927508 -1.520125414 -0.01982023 0.078922814 -0.5476039439 0.114495457 -0.041949471 -0.306559251 0.33351877 0.093707991 0.1344772384 -0.0400105407 -0.150101293 -0.49401088 -1.87794557 -0.0261868176 -1.62545574
1072 1072 -0.480608028 0.136674036 -0.269049084 0.40739167 -0.2345882187 -0.395883559 0.302604049 0.159531917 0.437669581 -0.319876794 -0.6435602475 0.0945438983 -0.562375332 -0.085554826 -0.48030272 -0.3807650126 -0.76115592
1076 1076 -0.006243111 0.560280304 -0.314235804 0.115339781 -0.6628653711 -0.08664151 0.090648715 -0.154139665 -0.448213939 0.550291231 0.2116423792 0.0524620831 -0.054719079 -0.266925765 -1.15100934 0.4529990271 -0.98062369
1080 1080 -0.459001919 0.63191791 -0.333125792 -0.013224398 -0.6723788875 0.375337549 0.274578876 0.345775452 -0.118907052 -0.011062905 0.2195857004 -0.1615333009 0.06939929 -0.29361097 -0.22951786 -0.1064239558 -0.3833712
1083 1083 0.035139784 -0.6000862 0.004162352 -0.066951906 0.0696574891 0.386029421 0.112717463 -0.503471467 0.235337221 0.546861933 0.5294557222 0.2505867067 -0.304443653 0.090880761 -0.65587636 0.4858208911 -0.84637128
1085 1085 -0.567153539 0.585410306 0.10678445 0.127264783 -0.1700921828 -0.285549753 0.089038511 0.68740506 0.216988392 0.147753244 0.3742380893 0.200300601 -0.05901231 0.045335435 0.1776172 0.0024965683 0.42269908
1087 1087 0.803602014 -0.385905701 0.147352937 0.081918967 0.6194396908 0.113049171 0.042932637 -0.405163218 0.015079637 -0.044761526 0.126229025 0.1117800395 0.098438989 -0.412482241 -1.37944704 -0.0002903872 -1.09140303
1088 1088 0.638142026 -1.052445621 -0.36141268 -0.127231586 -0.3027106539 -0.246212166 -0.279162347 -0.995740718 -0.514024633 0.201625102 -0.2173042012 -0.0274066124 0.158723647 0.027876597 1.24405248 0.2099194113 1.00722682
1094 1094 -0.312201062 0.123867038 0.369853245 0.208988103 0.3517883182 0.036963083 -0.002566925 0.77371906 -0.036198768 0.579066603 0.6347571469 -0.0819587761 0.063368627 0.200008133 -1.178389 0.3346090737 -0.56239972
2010 2010 0.202320554 -1.147905663 0.04232669 -0.118042362 0.5197229155 0.001989345 0.064244595 -0.595195077 -0.006578796 -0.575576894 -0.4431737891 -0.2970553297 -0.042704547 -0.129166745 0.803263 -0.5372245652 1.01119461
2012 2012 -0.640565448 1.297345363 0.435825672 0.040637743 -0.4880891145 -0.321385183 -0.187296018 -0.39113338 0.271985008 0.355988042 -0.2395489863 -0.3379737754 0.034051641 -0.246965945 0.73858768 -0.1104246363 0.84436364
2029 2029 -0.028217566 0.423487379 0.005870156 -0.021801921 -0.3011392942 0.21458778 0.276280025 -0.514222612 0.076103156 -0.373643965 -0.3345831119 0.046554296 -0.243031619 -0.045050858 -1.36085983 -0.3211639276 -1.17297923
2030 2030 0.564280202 0.237674722 0.172614678 -0.021205509 0.0928811349 -0.411276505 0.104177007 -0.135797946 0.008356755 -0.15296787 0.1976382816 -0.1155660981 0.274015712 -0.132544532 0.30243987 0.0696321146 0.33478296
2034 2034 -0.63128228 -0.932833064 -0.299681125 0.289826736 -0.7650376238 -0.234047821 0.07091466 0.754910473 0.123207582 0.375537986 0.1627534803 -0.0207523699 0.015479181 0.002638021 -1.88988187 0.2812835176 -1.7471398
