FAMID ID ILMN_1786759 ILMN_1662174 ILMN_1797861 ILMN_1666206 ILMN_1849013 ILMN_1797428 ILMN_2374770 ILMN_2341724 ILMN_1798947 ILMN_1682727 ILMN_1691693
938 938 -0.0115449549 0.094298017 0.1105144332 -0.1189964688 -0.141943231 -0.5327027 0.199689758 -0.6843965297 -0.6135549601 -0.1824914523 -0.463499823
944 944 NA NA NA NA NA NA NA NA NA NA NA
945 945 0.2374130736 0.328698925 0.2178175265 0.751957819 0.484515379 0.3298285 -0.190867412 0.9369339971 1.1117785449 0.1806541718 0.280248069
946 946 0.0467454984 -0.013976162 0.0725159999 -0.3299602717 -0.192073664 0.9639178 0.125686062 0.2400048062 0.2710937434 -0.2787790846 1.016346811
948 948 NA NA NA NA NA NA NA NA NA NA NA
954 954 0.0380612945 -0.504992246 -0.2333873603 -0.0954290895 -0.577654256 -0.4763 0.156453453 -1.3088738453 -1.0945930355 -0.2614701817 -0.601048685
957 957 NA NA NA NA NA NA NA NA NA NA NA
962 962 0.0206146469 0.45165803 -0.4904465201 0.3479582636 -0.331174808 0.4859407 -0.290495829 -1.2004702398 -1.4615377156 -0.0006302788 -0.045883226
965 965 -0.1002880317 0.218338135 0.5167381889 0.3418684678 -0.156216947 0.07316226 0.068790733 -0.2937123576 -0.1689770946 0.332386113 0.45526403
967 967 -0.081963414 -0.150814497 0.0988591 0.0230779252 0.146638851 0.6979838 -0.188614722 0.1968302427 0.1172700289 -0.0382421107 0.800653687
969 969 0.1405657932 0.073202446 -0.2196554732 -0.0075393987 -0.019673031 0.4659336 0.182995716 0.1712512527 0.1705539693 0.0743266305 0.40758261
973 973 -0.138430454 0.940231099 0.3757402513 0.174236352 0.284496908 -0.2750128 0.106756168 0.3234406783 0.3330591599 -0.0570731062 -0.195525915
974 974 0.263334382 -1.533953618 -0.0883578411 -0.478413539 0.055414259 0.3054727 -0.210362229 0.0855252361 0.1316852103 0.5358634327 0.424992728
975 975 0.114300771 -0.180026543 -0.1240372706 -0.1637531627 0.233474187 0.9513663 -0.077551853 0.1979822847 -0.0293557311 0.0243342608 0.379892643
978 978 -0.0083944285 0.091061158 0.150074689 -0.1920149209 -0.130482242 -0.354527 0.024137537 -0.4123753536 -0.2713694815 -0.0424356831 -0.843888121
980 980 0.0524498858 -0.150574975 -0.0790228949 -0.3832424999 0.382592978 0.6276417 0.308315317 0.8129662929 0.8396012855 -0.2189580766 0.437514364
992 992 0.0157456679 -0.146688519 -0.3565197554 0.0145953249 0.054845501 0.1942884 0.201498642 -0.6738890757 -0.6124987747 -0.1304865814 0.277314851
995 995 0.1395179419 -0.175742841 0.0385449089 -0.113024009 0.16289565 0.4689972 -0.050459967 0.6037700098 0.7889136357 -0.0824027959 0.532452795
996 996 -0.1879766897 0.321890786 -0.1300980273 0.3670589422 0.005259225 0.03482959 0.234069966 0.2423038652 -0.075379708 -0.0254646384 0.30330015
1000 1000 -0.0387131019 -0.103657163 -0.0362446551 0.1248641935 -0.091143926 -0.3427489 -0.111235852 -0.1855880806 -0.011358662 -0.3984930463 -0.714734124
1003 1003 0.1760467932 -0.147304193 0.1130865837 -0.1386362003 0.171495262 0.03314465 -0.068503877 0.277723612 0.2304128015 0.1253374542 -0.131492242
1005 1005 -0.0383072869 0.575497509 -0.0911130252 0.3896416153 -0.081588713 -0.5056715 -0.098604561 0.5144942976 0.4608766896 -0.0327584697 -0.108148259
1008 1008 -0.0765552034 -0.246677171 0.1338541765 -0.2008446774 0.18411404 0.1434196 0.065172368 1.0765143081 1.0539775171 -0.3667058699 0.448565259
1010 1010 0.1263445271 0.092298959 -0.0511243685 -0.4314591256 -0.011840942 -0.4416047 0.052736537 0.5229348642 0.3182043178 0.0064584195 -0.858707399
1019 1019 -0.2627145139 -0.516962405 0.2761605961 -0.4468599314 0.158265049 -0.03721049 -0.164526219 0.2101240726 -0.0052905991 0.3714886658 -0.670487397
1020 1020 -0.043681804 0.244480413 -0.0438450488 -0.3126315969 0.042018847 0.6837585 0.123210339 0.3130165501 0.3006830358 -0.1459509703 0.512112436
1022 1022 0.2007328481 0.146726693 0.0979830458 0.6218045514 0.215409415 -0.1581284 -0.280574595 0.4973273822 0.5389815404 0.3252130086 0.272100972
1032 1032 -0.1560211563 -0.101142756 -0.657505643 -0.4662346982 -0.063332975 -0.569482 0.210148537 -0.1925972385 -0.1698929669 -0.5305778272 0.082655055
1037 1037 -0.0587399823 -0.297653022 -0.1338773447 -0.1757370599 -0.111958726 0.2222034 0.248985321 -1.6086801889 -1.3676116509 -0.1317107861 0.442155297
1042 1042 0.0781732328 0.35442664 0.1464120968 0.3211579005 0.176377365 0.5316376 -0.203296595 0.5473626697 0.4574072809 0.2612669993 0.627779025
1050 1050 0.0041201827 -0.215848857 -0.109047216 0.2194948766 -0.23937352 2.659614e-05 -0.279127521 -1.6704521937 -1.4292072102 0.1874417216 0.093275421
